Date,Anomaly
1880-01-01,-0.3
1880-02-01,-0.21
1880-03-01,-0.18
1880-04-01,-0.27
1880-05-01,-0.14
1880-06-01,-0.29
1880-07-01,-0.24
1880-08-01,-0.08
1880-09-01,-0.17
1880-10-01,-0.16
1880-11-01,-0.19
1880-12-01,-0.22
1881-01-01,-0.1
1881-02-01,-0.14
1881-03-01,0.01
1881-04-01,-0.03
1881-05-01,-0.04
1881-06-01,-0.28
1881-07-01,-0.07
1881-08-01,-0.03
1881-09-01,-0.09
1881-10-01,-0.2
1881-11-01,-0.26
1881-12-01,-0.16
1882-01-01,0.09
1882-02-01,0.08
1882-03-01,0.01
1882-04-01,-0.2
1882-05-01,-0.18
1882-06-01,-0.25
1882-07-01,-0.11
1882-08-01,0.03
1882-09-01,-0.01
1882-10-01,-0.23
1882-11-01,-0.21
1882-12-01,-0.25
1883-01-01,-0.34
1883-02-01,-0.42
1883-03-01,-0.18
1883-04-01,-0.25
1883-05-01,-0.26
1883-06-01,-0.13
1883-07-01,-0.09
1883-08-01,-0.14
1883-09-01,-0.19
1883-10-01,-0.12
1883-11-01,-0.21
1883-12-01,-0.19
1884-01-01,-0.18
1884-02-01,-0.13
1884-03-01,-0.36
1884-04-01,-0.36
1884-05-01,-0.32
1884-06-01,-0.38
1884-07-01,-0.35
1884-08-01,-0.27
1884-09-01,-0.24
1884-10-01,-0.22
1884-11-01,-0.3
1884-12-01,-0.3
1885-01-01,-0.66
1885-02-01,-0.3
1885-03-01,-0.24
1885-04-01,-0.45
1885-05-01,-0.42
1885-06-01,-0.5
1885-07-01,-0.29
1885-08-01,-0.27
1885-09-01,-0.19
1885-10-01,-0.2
1885-11-01,-0.22
1885-12-01,-0.07
1886-01-01,-0.43
1886-02-01,-0.46
1886-03-01,-0.41
1886-04-01,-0.29
1886-05-01,-0.27
1886-06-01,-0.39
1886-07-01,-0.16
1886-08-01,-0.31
1886-09-01,-0.19
1886-10-01,-0.25
1886-11-01,-0.26
1886-12-01,-0.25
1887-01-01,-0.66
1887-02-01,-0.48
1887-03-01,-0.32
1887-04-01,-0.37
1887-05-01,-0.33
1887-06-01,-0.21
1887-07-01,-0.19
1887-08-01,-0.28
1887-09-01,-0.19
1887-10-01,-0.32
1887-11-01,-0.25
1887-12-01,-0.38
1888-01-01,-0.43
1888-02-01,-0.43
1888-03-01,-0.47
1888-04-01,-0.28
1888-05-01,-0.22
1888-06-01,-0.2
1888-07-01,-0.1
1888-08-01,-0.11
1888-09-01,-0.07
1888-10-01,0.01
1888-11-01,0
1888-12-01,-0.12
1889-01-01,-0.21
1889-02-01,0.14
1889-03-01,0.04
1889-04-01,0.04
1889-05-01,-0.03
1889-06-01,-0.12
1889-07-01,-0.05
1889-08-01,-0.18
1889-09-01,-0.18
1889-10-01,-0.22
1889-11-01,-0.32
1889-12-01,-0.31
1890-01-01,-0.48
1890-02-01,-0.48
1890-03-01,-0.41
1890-04-01,-0.38
1890-05-01,-0.48
1890-06-01,-0.27
1890-07-01,-0.3
1890-08-01,-0.36
1890-09-01,-0.36
1890-10-01,-0.23
1890-11-01,-0.37
1890-12-01,-0.3
1891-01-01,-0.46
1891-02-01,-0.49
1891-03-01,-0.15
1891-04-01,-0.25
1891-05-01,-0.17
1891-06-01,-0.22
1891-07-01,-0.22
1891-08-01,-0.21
1891-09-01,-0.13
1891-10-01,-0.24
1891-11-01,-0.37
1891-12-01,-0.03
1892-01-01,-0.26
1892-02-01,-0.15
1892-03-01,-0.36
1892-04-01,-0.35
1892-05-01,-0.25
1892-06-01,-0.2
1892-07-01,-0.28
1892-08-01,-0.2
1892-09-01,-0.25
1892-10-01,-0.17
1892-11-01,-0.49
1892-12-01,-0.29
1893-01-01,-0.69
1893-02-01,-0.51
1893-03-01,-0.24
1893-04-01,-0.32
1893-05-01,-0.35
1893-06-01,-0.24
1893-07-01,-0.14
1893-08-01,-0.24
1893-09-01,-0.18
1893-10-01,-0.16
1893-11-01,-0.17
1893-12-01,-0.38
1894-01-01,-0.55
1894-02-01,-0.31
1894-03-01,-0.2
1894-04-01,-0.41
1894-05-01,-0.3
1894-06-01,-0.43
1894-07-01,-0.32
1894-08-01,-0.29
1894-09-01,-0.23
1894-10-01,-0.17
1894-11-01,-0.25
1894-12-01,-0.22
1895-01-01,-0.44
1895-02-01,-0.42
1895-03-01,-0.3
1895-04-01,-0.23
1895-05-01,-0.23
1895-06-01,-0.25
1895-07-01,-0.16
1895-08-01,-0.16
1895-09-01,-0.02
1895-10-01,-0.11
1895-11-01,-0.15
1895-12-01,-0.12
1896-01-01,-0.23
1896-02-01,-0.15
1896-03-01,-0.29
1896-04-01,-0.33
1896-05-01,-0.19
1896-06-01,-0.13
1896-07-01,-0.06
1896-08-01,-0.09
1896-09-01,-0.05
1896-10-01,0.04
1896-11-01,-0.16
1896-12-01,-0.12
1897-01-01,-0.22
1897-02-01,-0.19
1897-03-01,-0.12
1897-04-01,-0.01
1897-05-01,0
1897-06-01,-0.12
1897-07-01,-0.04
1897-08-01,-0.03
1897-09-01,-0.04
1897-10-01,-0.1
1897-11-01,-0.18
1897-12-01,-0.26
1898-01-01,-0.06
1898-02-01,-0.34
1898-03-01,-0.55
1898-04-01,-0.33
